,env_br_per_min,scene_br_per_min,seq_per min,light,0 face,1 face,2 faces,3 faces,4+ faces,0 pers,1 pers,2 pers,3 pers,4 pers,5+ pers
176_3,5.1,10.1,10.1,33.2,64.7,29.4,5.9,0.0,0.0,5.9,5.9,88.2,0.0,0.0,0.0
177_13,19.5,20.6,5.4,43.1,48.2,28.6,8.9,10.7,3.6,0.0,42.9,0.0,0.0,7.1,50.0
178_11,8.5,14.9,10.6,38.6,55.6,33.3,11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.1,92.9
179_6,0.0,6.4,3.2,7.3,74.5,25.5,0.0,0.0,0.0,0.0,71.4,10.7,7.1,10.7,0.0
17_9,0.0,16.4,16.4,35.1,66.7,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
180_4,20.0,21.3,4.0,37.3,36.4,36.4,11.4,9.1,6.8,0.0,63.6,0.0,9.1,0.0,27.3
181_13,17.5,18.9,4.0,28.4,51.1,48.9,0.0,0.0,0.0,0.0,39.1,60.9,0.0,0.0,0.0
182_7,7.5,9.7,8.6,37.4,88.9,11.1,0.0,0.0,0.0,7.4,14.8,48.1,7.4,22.2,0.0
183_11,3.4,5.1,5.1,36.0,91.2,8.8,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
184_15,14.0,11.2,8.4,24.2,48.8,36.6,14.6,0.0,0.0,42.9,28.6,23.8,0.0,0.0,4.8
185_10,11.1,8.8,0.8,20.9,30.7,69.3,0.0,0.0,0.0,0.0,80.0,18.7,1.3,0.0,0.0
186_2,0.0,13.7,13.7,25.3,97.1,2.9,0.0,0.0,0.0,5.9,41.2,52.9,0.0,0.0,0.0
187_11,4.1,6.2,6.2,24.4,64.3,32.1,3.6,0.0,0.0,0.0,42.9,57.1,0.0,0.0,0.0
188_12,8.6,11.4,8.6,32.5,97.6,2.4,0.0,0.0,0.0,0.0,38.1,61.9,0.0,0.0,0.0
189_9,7.3,4.5,1.1,28.0,75.7,20.4,3.9,0.0,0.0,0.0,34.6,9.6,55.8,0.0,0.0
18_6,8.5,8.5,2.6,26.2,72.1,16.2,2.9,5.9,2.9,0.0,5.9,0.0,0.0,0.0,94.1
190_10,12.2,12.9,3.2,31.9,44.4,55.6,0.0,0.0,0.0,0.0,97.8,2.2,0.0,0.0,0.0
191_4,22.1,21.4,5.8,27.3,74.2,24.7,1.1,0.0,0.0,0.0,17.8,62.2,20.0,0.0,0.0
192_4,23.4,33.2,7.8,28.9,63.3,20.0,10.0,6.7,0.0,6.7,6.7,13.3,33.3,13.3,26.7
193_9,3.1,2.4,1.6,26.7,63.0,30.1,2.7,0.0,4.1,0.0,27.0,5.4,8.1,8.1,51.4
194_9,10.1,11.3,3.4,30.5,44.2,55.8,0.0,0.0,0.0,0.0,30.8,69.2,0.0,0.0,0.0
195_15,2.3,2.3,2.3,36.9,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
196_5,4.1,3.6,1.8,16.4,99.0,1.0,0.0,0.0,0.0,16.3,32.7,49.0,2.0,0.0,0.0
197_7,5.6,9.8,7.0,18.2,58.5,41.5,0.0,0.0,0.0,0.0,85.7,4.8,0.0,0.0,9.5
198_9,2.3,3.4,2.3,15.4,72.0,28.0,0.0,0.0,0.0,4.0,8.0,56.0,32.0,0.0,0.0
199_9,7.5,6.2,2.5,22.2,32.6,45.7,13.0,6.5,2.2,0.0,30.4,0.0,8.7,0.0,60.9
19_13,21.6,21.6,6.0,32.7,12.0,26.0,58.0,4.0,0.0,0.0,12.0,28.0,16.0,24.0,20.0
1_13,17.8,20.7,8.9,41.7,14.3,85.7,0.0,0.0,0.0,0.0,90.9,9.1,0.0,0.0,0.0
200_4,23.1,18.7,3.3,25.1,30.2,66.0,3.8,0.0,0.0,3.7,66.7,11.1,11.1,3.7,3.7
201_10,15.4,12.0,2.6,32.4,82.1,17.9,0.0,0.0,0.0,0.0,91.2,8.8,0.0,0.0,0.0
202_9,2.1,4.3,4.3,49.7,70.4,22.2,7.4,0.0,0.0,0.0,0.0,7.1,42.9,50.0,0.0
203_2,15.0,17.5,7.5,17.4,82.6,17.4,0.0,0.0,0.0,0.0,83.3,16.7,0.0,0.0,0.0
204_2,9.0,9.0,9.0,28.2,100.0,0.0,0.0,0.0,0.0,38.5,23.1,23.1,7.7,7.7,0.0
205_9,1.8,3.7,3.7,17.1,83.9,16.1,0.0,0.0,0.0,0.0,6.2,50.0,6.2,18.8,18.8
206_8,14.6,15.8,4.5,17.9,39.2,7.8,9.8,11.8,31.4,0.0,50.0,15.4,11.5,23.1,0.0
