,0 pers,1 pers,2 pers,3 pers,4 pers,5+ pers
4_13,4.8,33.3,38.1,0.0,14.3,9.5
50_10,0.0,50.0,25.0,25.0,0.0,0.0
51_5,7.9,36.8,55.3,0.0,0.0,0.0
52_11,0.0,35.7,25.0,32.1,7.1,0.0
53_13,0.0,0.0,69.6,30.4,0.0,0.0
54_2,10.5,63.2,21.1,5.3,0.0,0.0
55_13,0.0,27.8,33.3,5.6,5.6,27.8
56_11,0.0,4.8,95.2,0.0,0.0,0.0
57_6,4.8,81.0,14.3,0.0,0.0,0.0
58_6,53.8,15.4,23.1,7.7,0.0,0.0
59_2,33.3,33.3,33.3,0.0,0.0,0.0
5_11,0.0,0.0,100.0,0.0,0.0,0.0
60_3,0.0,26.7,26.7,6.7,13.3,26.7
61_4,6.9,41.4,20.7,24.1,0.0,6.9
62_8,20.0,32.0,20.0,4.0,12.0,12.0
63_2,0.0,66.7,33.3,0.0,0.0,0.0
64_10,12.0,80.0,0.0,0.0,0.0,8.0
65_11,5.0,25.0,70.0,0.0,0.0,0.0
66_9,0.0,100.0,0.0,0.0,0.0,0.0
67_3,0.0,43.8,37.5,6.2,12.5,0.0
68_3,0.0,58.1,18.6,0.0,23.3,0.0
69_2,0.0,52.8,47.2,0.0,0.0,0.0
6_3,7.1,7.1,85.7,0.0,0.0,0.0
70_15,75.0,18.8,0.0,0.0,6.2,0.0
71_7,0.0,0.0,100.0,0.0,0.0,0.0
72_2,5.3,63.2,31.6,0.0,0.0,0.0
73_6,8.0,48.0,20.0,16.0,4.0,4.0
74_4,0.0,17.6,41.2,41.2,0.0,0.0
75_6,7.4,50.6,42.0,0.0,0.0,0.0
76_11,0.0,8.3,91.7,0.0,0.0,0.0
77_11,0.0,5.7,62.9,31.4,0.0,0.0
78_9,2.3,18.2,79.5,0.0,0.0,0.0
79_8,0.0,11.8,70.6,17.6,0.0,0.0
7_1,5.3,10.5,84.2,0.0,0.0,0.0
80_9,0.0,14.3,21.4,28.6,21.4,14.3
81_15,27.0,29.7,43.2,0.0,0.0,0.0
82_11,0.0,7.1,35.7,50.0,0.0,7.1
83_14,0.0,11.8,88.2,0.0,0.0,0.0
84_4,0.0,50.0,0.0,25.0,25.0,0.0
85_6,0.0,8.3,8.3,83.3,0.0,0.0
86_14,7.7,0.0,7.7,84.6,0.0,0.0
87_2,30.0,25.0,0.0,5.0,10.0,30.0
88_11,0.0,14.3,78.6,7.1,0.0,0.0
89_2,37.5,50.0,0.0,12.5,0.0,0.0
8_3,0.0,21.4,78.6,0.0,0.0,0.0
90_15,0.0,0.0,0.0,0.0,0.0,100.0
91_14,0.0,19.0,71.4,9.5,0.0,0.0
92_4,0.0,26.9,38.5,7.7,15.4,11.5
93_8,3.7,40.7,55.6,0.0,0.0,0.0
94_2,0.0,0.0,8.3,41.7,25.0,25.0
95_14,0.0,10.0,90.0,0.0,0.0,0.0
96_6,4.8,0.0,19.0,4.8,23.8,47.6
97_6,5.6,11.1,50.0,5.6,13.9,13.9
98_13,0.0,5.9,58.8,11.8,11.8,11.8
99_11,0.0,0.0,100.0,0.0,0.0,0.0
9_1,0.0,29.7,54.1,16.2,0.0,0.0
