,env_br_per_min,scene_br_per_min,seq_per min
232_13,22.6,20.7,3.0
251_2,17.5,26.2,26.2
142_15,5.6,7.4,5.6
61_4,25.0,22.0,7.0
83_14,10.1,11.8,3.4
187_11,4.1,6.2,6.2
13_2,3.7,5.6,5.6
6_3,4.1,4.1,4.1
58_6,5.7,4.5,2.3
267_15,14.4,10.8,9.0
68_3,16.0,8.7,1.3
71_7,0.0,3.5,3.5
128_5,2.9,2.9,2.9
148_4,23.8,17.3,2.2
1_13,17.8,20.7,8.9
147_1,13.4,20.9,14.9
96_6,8.5,5.6,2.8
163_4,15.7,14.4,6.6
171_11,5.5,13.6,13.6
246_14,3.7,4.9,2.5
26_15,22.9,22.9,8.6
25_13,20.6,24.0,13.7
63_2,0.0,9.6,7.7
22_3,0.0,7.7,2.2
7_1,12.1,9.1,1.5
39_1,16.4,14.2,6.7
262_11,11.0,12.2,6.1
183_11,3.4,5.1,5.1
297_3,15.1,5.0,3.4
184_15,14.0,11.2,8.4
274_9,11.1,7.9,7.9
32_13,26.7,28.9,11.1
87_2,5.9,5.9,3.0
35_10,13.7,13.7,1.4
198_9,2.3,3.4,2.3
221_7,3.1,4.6,4.6
138_9,3.1,4.6,4.6
284_6,0.0,2.0,1.0
213_15,14.4,9.6,4.8
