,0 pers,1 pers,2 pers,3 pers,4 pers,5 pers
294_13,0.02564102564102564,0.3076923076923077,0.6666666666666666,0.0,0.0,0.0
116_15,0.0,0.1111111111111111,0.16666666666666666,0.05555555555555555,0.4444444444444444,0.2222222222222222
125_2,0.08695652173913043,0.34782608695652173,0.13043478260869565,0.21739130434782608,0.08695652173913043,0.13043478260869565
127_9,0.0,0.0,0.4117647058823529,0.4117647058823529,0.11764705882352941,0.058823529411764705
171_11,0.0,0.0,0.45454545454545453,0.18181818181818182,0.18181818181818182,0.18181818181818182
214_14,0.12903225806451613,0.8709677419354839,0.0,0.0,0.0,0.0
59_2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
64_10,0.12,0.8,0.0,0.0,0.0,0.08
209_1,0.0,0.875,0.125,0.0,0.0,0.0
103_13,0.4074074074074074,0.5925925925925926,0.0,0.0,0.0,0.0
29_12,0.24,0.12,0.08,0.04,0.32,0.2
49_7,0.0,0.16,0.32,0.32,0.2,0.0
28_2,0.0,0.041666666666666664,0.4166666666666667,0.2916666666666667,0.25,0.0
70_15,0.75,0.1875,0.0,0.0,0.0625,0.0
145_3,0.0,0.21052631578947367,0.7894736842105263,0.0,0.0,0.0
298_13,0.0,0.0,0.5238095238095238,0.14285714285714285,0.047619047619047616,0.2857142857142857
158_2,0.0,0.0,0.0,0.0,0.5454545454545454,0.45454545454545453
222_15,0.32,0.08,0.28,0.16,0.16,0.0
261_6,0.0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0
289_14,0.0,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.0,0.0
133_3,0.025,0.275,0.45,0.225,0.025,0.0
122_2,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.0,0.09090909090909091
22_3,0.0,0.07407407407407407,0.8518518518518519,0.07407407407407407,0.0,0.0
47_3,0.0,1.0,0.0,0.0,0.0,0.0
203_2,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0
208_12,0.11764705882352941,0.35294117647058826,0.11764705882352941,0.35294117647058826,0.058823529411764705,0.0
132_3,0.11764705882352941,0.23529411764705882,0.5882352941176471,0.058823529411764705,0.0,0.0
182_7,0.07407407407407407,0.14814814814814814,0.48148148148148145,0.07407407407407407,0.2222222222222222,0.0
119_8,0.23809523809523808,0.23809523809523808,0.5238095238095238,0.0,0.0,0.0
114_12,0.06666666666666667,0.4666666666666667,0.4666666666666667,0.0,0.0,0.0
66_9,0.0,1.0,0.0,0.0,0.0,0.0
9_1,0.0,0.2972972972972973,0.5405405405405406,0.16216216216216217,0.0,0.0
272_11,0.0,0.125,0.3125,0.5625,0.0,0.0
124_13,0.022222222222222223,0.08888888888888889,0.1111111111111111,0.7555555555555555,0.022222222222222223,0.0
79_8,0.0,0.11764705882352941,0.7058823529411765,0.17647058823529413,0.0,0.0
136_5,0.08695652173913043,0.21739130434782608,0.6956521739130435,0.0,0.0,0.0
94_2,0.0,0.0,0.08333333333333333,0.4166666666666667,0.25,0.25
159_12,0.07317073170731707,0.7804878048780488,0.14634146341463414,0.0,0.0,0.0
230_4,0.0,0.5,0.07692307692307693,0.15384615384615385,0.0,0.2692307692307692
144_11,0.0,0.4,0.6,0.0,0.0,0.0
147_1,0.0,0.65,0.35,0.0,0.0,0.0
259_15,0.19047619047619047,0.3333333333333333,0.23809523809523808,0.047619047619047616,0.0,0.19047619047619047
168_2,0.0,0.11764705882352941,0.5882352941176471,0.29411764705882354,0.0,0.0
1_13,0.0,0.9090909090909091,0.09090909090909091,0.0,0.0,0.0
